Id,Date,Retweeted,Liked,Text,hashtags,url,expanded_url
872509707214311425,2017-06-07 17:44,0,0,"Hobbelpaard of krokodil nodig? Tweedehands houten speelgoed van super eerlijke, duurzame winkel @degrotewolf! https://t.co/ZRzitjvKtL https://t.co/8WxFM37PT7",,https://t.co/ZRzitjvKtL,http://bit.ly/2rBPCDR
867339901456588801,2017-05-24 11:22,0,2,"Wat gaaf, je kunt deze hippe tweetende boom volgen: @TreeWatchWUR https://t.co/eSwoheOR8j",,https://t.co/eSwoheOR8j,https://twitter.com/Marteke/status/867338518103830529
862721653708664832,2017-05-11 17:30,0,1,Wat vinden jullie van deze schattige #haarspeldjes uit India? Deels #Upcycled! https://goo.gl/wQhvFR #eerlijkemode #eerlijkeaccesoires https://t.co/bLZ0dzxJ64,"haarspeldjes,Upcycled,eerlijkemode,eerlijkeaccesoires",https://goo.gl/wQhvFR,https://fairfrog.nl/#!/products/emax_domina/haarspelden_van_krantenpapier/701/
836958010538872834,2017-03-01 15:15,0,0,PERSOONLIJKE #BLOG: wij waren aanwezig bij het event Selling for People Who Don't Like Sales van  @TheSchoolOfLife!  https://t.co/afH4tNAmo3 https://t.co/GiAHEUSrHe,BLOG,https://t.co/afH4tNAmo3,http://ow.ly/51oN309t4OS
831741110963822592,2017-02-15 05:45,0,0,GOTS gecertificeerde jurk van @wunderwerk_eco https://goo.gl/ygSv5D #tencel #eerlijkemode #fairfashion #GOTS #consubeteren https://t.co/wKf9jNs5cF,"tencel,eerlijkemode,fairfashion,GOTS,consubeteren",https://goo.gl/ygSv5D,https://fairfrog.nl/#!/products/ingar/zwarte_tencel_jurk/546/
831179940460711936,2017-02-13 16:35,0,0,Fijne oversized blouse van @KingsOfIndigo ; te dragen als tuniek en als vest/jasje! https://goo.gl/iHGv1V #biologischkatoen #fairtrade https://t.co/1PAjZKUasQ,"biologischkatoen,fairtrade",https://goo.gl/iHGv1V,https://fairfrog.nl/#!/products/sophie_stone/juliana_blouse/1729/
826657620241088513,2017-02-01 05:05,0,0,n.a.v. dit filmpje over t nr in t recycle icoon https://t.co/p2oTxpq9pC :welke plastics mogen wij in jullie bakken deponeren @plasticheroes?,,https://t.co/p2oTxpq9pC,http://ow.ly/cZPk308xlGJ
824011381288685570,2017-01-24 21:49,0,0,Kennen jullie @Ecosia al? Deze #zoekmachine spendeert 80% van hun winst aan het planten van bomen! 1/2,zoekmachine,,
823898237329403906,2017-01-24 14:20,0,1,Super leuke #colorblock jurk van @PeopleTree - ook nog eens in de #uitverkoop! https://goo.gl/uo7kYA #eerlijkemode #fair #HalloPlaneet https://t.co/lB99uKOg0L,"colorblock,uitverkoop,eerlijkemode,fair,HalloPlaneet",https://goo.gl/uo7kYA,https://fairfrog.nl/#!/products/sophie_stone/mignon_jurk/1597/
823777398864936961,2017-01-24 06:20,0,3,#Feedback tijd! Wie heeft er feedback voor ons? Mag allemaal tegelijk hoor! #socialenterprise #startup #fairfashion #consubeteren,"Feedback,socialenterprise,startup,fairfashion,consubeteren",,
823428861530689537,2017-01-23 07:15,0,0,Nóg n t-shirt of drinkwater voor 900 dgn? Bewust consumeren maakt een verschil! Filmpje van @NatGeoNL  https://t.co/lf5kPrGBn3 #slowfashion,slowfashion,https://t.co/lf5kPrGBn3,http://ow.ly/KawQ3088ulx
823066452982906882,2017-01-22 07:15,0,1,"Ons doel is om dé verzamelwebsite voor eerlijke&amp;duurzame producten te worden. Niet eindeloos veel tabs open, maar alles eerlijk op één site",,,
822332876792483840,2017-01-20 06:40,0,0,In twee minuten interessante #weetjes over iets wat we vaak als vanzelfsprekend zien: #Water! https://t.co/iK1y6ZuN5s,"weetjes,Water",https://t.co/iK1y6ZuN5s,http://ow.ly/tPPI3088s3G
821853262815100929,2017-01-18 22:54,0,0,#Klimaatsverandering is echt en is gaande. https://t.co/YqWiVcURLr,Klimaatsverandering,https://t.co/YqWiVcURLr,https://twitter.com/NASAGoddardPix/status/821784923635851268
821741438027386880,2017-01-18 15:30,0,0,"Vandaag op de blog: interview over verzorging #emancipatie en #duurzaamheid, wat hebben ze met elkaar te maken? https://t.co/YniNQTg4Fl https://t.co/0vkqBZxyrv","emancipatie,duurzaamheid",https://t.co/YniNQTg4Fl,http://bit.ly/emancipatieduurzaamheid
820205207871168513,2017-01-14 09:45,0,1,De teelt van #soja verwoest de #amazone. Moeten we daarom onze soja producten laten staan? @VDWVM schreef erover https://t.co/vhAOeMHmXD,"soja,amazone",https://t.co/vhAOeMHmXD,http://ow.ly/xBvd307ZSfY
795682999719383041,2016-11-07 17:43,0,0,#duurzaam #verhuizen is van je oude stellingkast een (inklapbare) #bag tafel maken! https://t.co/92R4Rp0yIF,"duurzaam,verhuizen,bag",,
790506901775720448,2016-10-24 10:55,0,3,"Mooi verhaal over een #duurzaam merk! Langzaam allemaal aan de #fairfashion: ""Het verandert langzaam onze kant op, echt waar!” https://t.co/upBmS3GKLG","duurzaam,fairfashion",https://t.co/upBmS3GKLG,https://twitter.com/Grensverleggrs/status/790496939414552576
772088403198349313,2016-09-03 15:06,0,3,Goede blog over moderne slavernij van @SustainableJunk! #slavery #chocolate https://t.co/dmCIiNkmbt,"slavery,chocolate",https://t.co/dmCIiNkmbt,https://twitter.com/SustainableJunk/status/771352784251850752
766636893979148289,2016-08-19 14:04,0,0,Awesome #quote! https://t.co/YAof3PBFmk,quote,https://t.co/YAof3PBFmk,https://twitter.com/PeopleTree/status/766636385642176512
766353490713178116,2016-08-18 19:18,0,0,Mascara kopen? 5 tips voor een #gezonde en #duurzame aankoop! #archief https://t.co/unQrBVGKfV,"gezonde,duurzame,archief",https://t.co/unQrBVGKfV,http://bit.ly/2apgY8U
763443459546025984,2016-08-10 18:34,0,0,Afrikaanse landen willen af van dump van tweedehandskleding #slowfashion #circulareconomy @SustainBrandsEs https://t.co/B8Gr2RjuEw,"slowfashion,circulareconomy",https://t.co/B8Gr2RjuEw,http://bit.ly/2aZFBY6
763058757437890560,2016-08-09 17:05,0,2,Uitverkoop is een lastig fenomeen als je wilt gaan voor #duurzaamheid en #fairfashion; leuke blog over afwegingen! https://t.co/7mIsPaykkT,"duurzaamheid,fairfashion",https://t.co/7mIsPaykkT,https://twitter.com/HermienBuis/status/763036610296446976
761856058818199552,2016-08-06 09:26,0,1,Waar let jij op bij het kopen van #mascara? @nellekooren vertelt waar zij op let! https://t.co/unQrBVGKfV https://t.co/CRjrF8RTIr,mascara,https://t.co/unQrBVGKfV,http://bit.ly/2apgY8U
761633789915361280,2016-08-05 18:43,0,0,Volgen jullie ons al op Facebook? Van harte welkom! Alvast bedankt voor je like! https://t.co/04OExciu1b,,https://t.co/04OExciu1b,https://www.facebook.com/fairfrog/
761506941264953344,2016-08-05 10:19,0,1,#fairfashion https://t.co/q3Wh0TaLpG,fairfashion,https://t.co/q3Wh0TaLpG,https://twitter.com/DuurzameTweets/status/761131430864883712
761165858416701441,2016-08-04 11:44,0,1,"#3 ""freeze your denim"" die had ik nog niet eerder gehoord, jullie? #fashion #sustainability https://t.co/XBY6qYHlfM","fashion,sustainability",https://t.co/XBY6qYHlfM,https://twitter.com/TillyButtons/status/760887202222075904
760540611351080960,2016-08-02 18:19,0,0,Niet ok dit :( #huisdieren #dierenwelzijn https://t.co/yRLLJ5Lwtg,"huisdieren,dierenwelzijn",https://t.co/yRLLJ5Lwtg,https://twitter.com/Dierbescherming/status/760528102518824960
759384233186033664,2016-07-30 13:44,0,0,Waar wil jij de foodtruck van de @VegaSlager graag tegenkomen? Graag eentje bij mij in de straat :). https://t.co/2RWIe8ciRp,,https://t.co/2RWIe8ciRp,https://twitter.com/VegaSlager/status/759014099166441472
759360875950120960,2016-07-30 12:11,0,1,Wat een mooi initiatief! #ciculair #circulareconomy https://t.co/vrZnKs9hOG,"ciculair,circulareconomy",https://t.co/vrZnKs9hOG,https://twitter.com/vanhulley/status/759317038972203008
758681607536578560,2016-07-28 15:12,0,0,Zijn dit robots of toch iets anders? Find out op onze blog! https://t.co/nyHAik8LoA https://t.co/67qzBrZiM1,,https://t.co/nyHAik8LoA,http://bit.ly/2aAIFJz
758657266623082500,2016-07-28 13:36,0,0,Daar word je toch blij van? :-) https://t.co/KnMGuyQvQC,,https://t.co/KnMGuyQvQC,https://twitter.com/Hadjar/status/758192121652404224
758592633149292544,2016-07-28 09:19,0,0,Top! Welke supermarkten volgen? https://t.co/VFyJVxhwJ4,,https://t.co/VFyJVxhwJ4,https://twitter.com/Benjijduurzaam/status/758588100578832384
757978690861076480,2016-07-26 16:39,0,0,"""Less pressure to tidy and clean your living space"", who doesn't need that? I know I do :D benefits of #minimalism https://t.co/9kFtBLPKLA",minimalism,https://t.co/9kFtBLPKLA,http://bit.ly/2aHNxMj
757977242731483137,2016-07-26 16:33,0,1,Simple &amp; to the point tips for a more sustainable wardrobe! https://t.co/qilXfFa1N2,,https://t.co/qilXfFa1N2,https://twitter.com/TaniaArrayales/status/756901756467089408
757573352961744896,2016-07-25 13:48,0,0,How detrimental to the environment is a business model where repairs are made so difficult? Go #circular! #nowaste https://t.co/y1m7N9ryVT,"circular,nowaste",https://t.co/y1m7N9ryVT,https://twitter.com/CtheLoop/status/757520853408083969
757238565143281664,2016-07-24 15:38,0,1,"En wat je kunt doen, bijvoorbeeld met een oceaan-vriendelijke garderobe: https://t.co/EAqFlVfn9f https://t.co/SFQfaGXdSc",,https://t.co/EAqFlVfn9f,http://bit.ly/1tguDVh
756805788560130052,2016-07-23 10:58,0,0,Feel the emotion and take action is what @cj_artist tells us! #plasticfreejuly #nowaste https://t.co/mC6uxSwfKZ,"plasticfreejuly,nowaste",https://t.co/mC6uxSwfKZ,https://twitter.com/Doutzen/status/124148429143281665
756777807146020864,2016-07-23 09:07,0,1,Voedselverspilling in het kort en wat we eraan kunnen doen! Via @Krommunity en @Food_Tank https://t.co/Nnk7QfL5Bq,,https://t.co/Nnk7QfL5Bq,https://www.youtube.com/watch?v=z1X-HWPbeD4
756197356857651200,2016-07-21 18:41,0,0,Onze uitverkoop tip op de blog al gezien? @ARMEDANGELS https://t.co/C0JwvORxYL https://t.co/yPIt0dz6K5,,https://t.co/C0JwvORxYL,http://bit.ly/29Uymkb
755385871466201089,2016-07-19 12:56,0,0,Hoe gaaf is dit?! https://t.co/0bGN6biVW8,,https://t.co/0bGN6biVW8,https://twitter.com/BioFutura/status/755337062497136640
754641452546813952,2016-07-17 11:38,0,0,Wat is nu echt #duurzaam? @oneworldnl analyseerde deze vraag voor de zonnebrillen van @meetdickmoby: https://t.co/31Pdaz8G5l,duurzaam,https://t.co/31Pdaz8G5l,http://bit.ly/29EcBH1
753977544614043648,2016-07-15 15:40,0,0,"Op welke keurmerken letten jullie in de supermarkt? Wij zijn #nieuwsgierig, laat een tweetje achter, thanks! :-) https://t.co/JdcSDG4Yxm",nieuwsgierig,https://t.co/JdcSDG4Yxm,https://twitter.com/oneworldnl/status/753927156569440256
753556809609310209,2016-07-14 11:48,0,0,"Hoe duurzaam zijn onze geeltjes, joetjes, meiers en ruggen eigenlijk? Goed op weg of kan beter? @DNB_NL @DuurzaamBV https://t.co/Y9feFkn3ul",,https://t.co/Y9feFkn3ul,http://www.duurzaambedrijfsleven.nl/finance/16245/dnb-100-procent-duurzaam-katoen-voor-bankbiljetten
752919327754584064,2016-07-12 17:35,0,0,Het ene plastic is het andere niet: https://t.co/70WIM8zpcf,,https://t.co/70WIM8zpcf,http://www.womenshealthmag.nl/Health/plastic-codes-ongezond
752471969463930880,2016-07-11 11:57,0,0,"Ethical shopping question 1: ""Do I really need it?"" https://t.co/EkMQhwH5lt",,https://t.co/EkMQhwH5lt,http://thenotepasser.com/blog/2013/9/24/shopping-ethically-an-infographic
752177582796308481,2016-07-10 16:28,0,0,"""The California pipevine swallowtail butterfly is a wonder to behold."" Inspirerend verhaal over vlinders redden...
https://t.co/qJdNEOwg3S",,https://t.co/qJdNEOwg3S,http://www.vox.com/2016/7/6/12098122/california-pipevine-swallowtail-butterfly-population
756805788560130052,2016-07-23 10:58,0,0,Feel the emotion and take action is what @cj_artist tells us! #plasticfreejuly #nowaste https://t.co/mC6uxSwfKZ,"plasticfreejuly,nowaste",https://t.co/mC6uxSwfKZ,https://twitter.com/Doutzen/status/124148429143281665
756777807146020864,2016-07-23 09:07,0,1,Voedselverspilling in het kort en wat we eraan kunnen doen! Via @Krommunity en @Food_Tank https://t.co/Nnk7QfL5Bq,,https://t.co/Nnk7QfL5Bq,https://www.youtube.com/watch?v=z1X-HWPbeD4
756197356857651200,2016-07-21 18:41,0,0,Onze uitverkoop tip op de blog al gezien? @ARMEDANGELS https://t.co/C0JwvORxYL https://t.co/yPIt0dz6K5,,https://t.co/C0JwvORxYL,http://bit.ly/29Uymkb
755385871466201089,2016-07-19 12:56,0,0,Hoe gaaf is dit?! https://t.co/0bGN6biVW8,,https://t.co/0bGN6biVW8,https://twitter.com/BioFutura/status/755337062497136640
754641452546813952,2016-07-17 11:38,0,0,Wat is nu echt #duurzaam? @oneworldnl analyseerde deze vraag voor de zonnebrillen van @meetdickmoby: https://t.co/31Pdaz8G5l,duurzaam,https://t.co/31Pdaz8G5l,http://bit.ly/29EcBH1
753977544614043648,2016-07-15 15:40,0,0,"Op welke keurmerken letten jullie in de supermarkt? Wij zijn #nieuwsgierig, laat een tweetje achter, thanks! :-) https://t.co/JdcSDG4Yxm",nieuwsgierig,https://t.co/JdcSDG4Yxm,https://twitter.com/oneworldnl/status/753927156569440256
753556809609310209,2016-07-14 11:48,0,0,"Hoe duurzaam zijn onze geeltjes, joetjes, meiers en ruggen eigenlijk? Goed op weg of kan beter? @DNB_NL @DuurzaamBV https://t.co/Y9feFkn3ul",,https://t.co/Y9feFkn3ul,http://www.duurzaambedrijfsleven.nl/finance/16245/dnb-100-procent-duurzaam-katoen-voor-bankbiljetten
752919327754584064,2016-07-12 17:35,0,0,Het ene plastic is het andere niet: https://t.co/70WIM8zpcf,,https://t.co/70WIM8zpcf,http://www.womenshealthmag.nl/Health/plastic-codes-ongezond
752471969463930880,2016-07-11 11:57,0,0,"Ethical shopping question 1: ""Do I really need it?"" https://t.co/EkMQhwH5lt",,https://t.co/EkMQhwH5lt,http://thenotepasser.com/blog/2013/9/24/shopping-ethically-an-infographic
752177582796308481,2016-07-10 16:28,0,0,"""The California pipevine swallowtail butterfly is a wonder to behold."" Inspirerend verhaal over vlinders redden...
https://t.co/qJdNEOwg3S",,https://t.co/qJdNEOwg3S,http://www.vox.com/2016/7/6/12098122/california-pipevine-swallowtail-butterfly-population
